recipe_id,title,date,desc,rating,calories,sodium,fat,protein
3136,Vegetable Pot Pie with Wine Sauce and Polenta Crust ,2004-08-20T12:48:48.000Z,"Roasting the vegetables and adding red wine are the secrets to the satisfying flavor of this pot pie. Other root vegetables such as turnips or parsnips would work well here, too.",3.75,NA,NA,NA,NA
3137,Semolina and Spinach Gratin ,2006-10-31T20:07:08.000Z,"IMPROV: For a milder, creamier version, use a blend of Parmesan and Fontina instead of all Parm. (Semolina flour is sold at some supermarkets, Italian markets, and specialty foods stores.)",3.75,294,1443,13,16
3138,Tropical Fruit Salad ,2010-12-13T04:00:00.000Z,NA,0,121,3,0,1
3139,Cold Tomato-Thyme Soup with Grilled Garlic Croutons ,2004-08-20T04:00:00.000Z,Tomato time is the best time to put this do-ahead soup on the menu.,5,239,181,13,7
3140,Lemon-Herb Mayonnaise ,2004-08-20T04:00:00.000Z,Delicious with seafood and veggies.,0,404,335,45,0
3141,Christmas Glazed Apple Cake (Weihnachten Gedeckter Apfelkuchen) ,2016-12-07T22:03:47.838Z,"Covered Apple Cake (Gedeckter Apfelkuchen) is one of the cakes you’re sure to find in almost every single bakery across Germany. To make it, you line a springform pan with a sweet short pastry, fill the crust with a chunky cooked apple filling studded with raisins and flavored with cinnamon and lemon, and then use the same crust dough to make a lid for the cake. I sometimes wonder if it isn’t the precursor to America’s apple pie, though in this cake, even after baking, the pastry remains soft and cakey thanks to the moist, cooked apple filling and a lemon glaze that is brushed on the top crust after baking.",0,6929,837,140,56
3142,Walnut and Raisin Strudel ,2004-08-20T04:00:00.000Z,NA,0,93,7,4,1
3143,Yogurt-Feta Dip ,2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less.,3.125,152,386,11,8
3144,Irish Currant and Raisin Cake ,2004-08-20T04:00:00.000Z,"Rightfully this cake belongs in the chapter with the other cakes that contain dried fruit, but to me it is the quintessential coffee cake. It is a quick and easy version of a cake that I remember from my childhood, made by the mother of my school friend, the late Noel Giles. Noel and I consumed about a ton of this cake per year between the ages of twelve and eighteen — a taste of it still makes me feel like a teenager.",4.375,2988,2609,102,48
3145,Sautéed Greens with Toasted Walnuts ,2015-04-24T04:00:00.000Z,"Toasted walnuts add a rich nuttiness to earthy greens. If you are following our $68 Dinner Story, use the reserved beet and Swiss chard greens and remaining chard stems from the Roasted Beet Salad with Flash-Pickled Radishes and Chard .",5,112,808,9,3
3146,Ginger Shallot Marmalade ,2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less.,0,150,196,6,1
3147,Thai-Style Chicken and Rice Soup ,2004-08-20T04:00:00.000Z,Using shrimp instead of chicken in this recipe makes for an equally delicious soup.,4.375,287,911,13,18
3148,Curried Potatoes and Onions ,2004-08-20T04:00:00.000Z,NA,3.75,213,22,13,3
3149,Za'atar ,2013-08-06T04:00:00.000Z,"Like curry, za'atar is a spice blend that varies from cook to cook in the Middle East, its birthplace. My father was Assyrian, so I've always enjoyed the flavors of the region (though the closest I've yet traveled is Turkey). This is my interpretation, and it reflects my priorities: my favorite part of za'atar is the tart sumac, so it's particularly heavy in my version. And while some cooks grind their spices together, I like to leave the sesame seeds whole. You can find sumac in Middle Eastern groceries and from online sources such as Penzeys and Kalustyan's. For a perfect, quick snack, combine with olive oil and brush on pita.",0,90,487,5,3
3150,My Chicken Broth-Braised Baby Turnips ,2014-09-30T04:00:00.000Z,These small turnips are perfect with duck or roast chicken.,2.5,273,248,25,3
3151,Cucumber Goat Cheese Spread ,2004-08-20T12:48:48.000Z,NA,3.75,159,261,12,11
3152,White Chocolate Mousse ,2004-08-20T04:00:00.000Z,This recipe originally accompanied Frozen White Chocolate and Hazelnut Dacquoise .,3.75,231,43,13,3
3153,Romesco Sauce ,2005-07-19T19:49:39.000Z,"This dip is our version of a Catalan sauce that has many variations and tastes great with almost any type of grilled meat or fish. It's worth the extra trouble to use hazelnuts (which need peeling), as well as almonds. Even though 2 tablespoons of hazelnuts seems a small amount, they round out the flavor of the sauce.",5,335,250,31,4
3154,Beer-Braised Brisket ,2015-02-01T04:00:00.000Z,"Serve brisket with sauces, slaw, pickles, and rolls so guests can assemble into sandwiches.",5,994,2110,78,61
3155,Cilantro Chutney ,2005-07-19T19:46:46.000Z,NA,2.5,143,297,14,1
3156,Anchovy Mayonnaise ,2005-07-19T19:47:41.000Z,NA,3.125,471,1000,44,10
3157,Dandelion Salad with Lardons and Goat Cheese Phyllo Blossoms ,2005-03-09T15:31:11.000Z,"This dish is a take on the bistro classic frisée salad with lardons. We recommend removing the ribs from the dandelion greens; though it's a rather lengthy process, the result will be much more delicate.",4.375,639,590,56,30
3158,Turkey and Black Bean Salsa Tortilla Rolls ,2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less.,3.75,NA,NA,NA,NA
3159,Gochujang Gazpacho ,2015-04-21T04:00:00.000Z,NA,4.375,368,904,29,5
3160,Crispy Potato Galette ,2004-08-20T04:00:00.000Z,"Potatoes are a must on any bistro menu. Here, they are grated and layered with cheese to form a large pancake-like galette.",3.75,303,134,17,8
3161,Thyme-Roasted Sweet Onions with Tomatoes and Garlic ,2004-08-20T04:00:00.000Z,"Great with grilled chicken or meats, or as an addition to hamburgers and other sandwiches. If available, use Vidalia or Maui onions for this delicious condiment.",2.5,NA,NA,NA,NA
3162,"Mediterranean Supper Omelet with Fennel, Olives, and Dill ",2007-01-18T19:41:02.000Z,"This hefty omelet is big enough for two people to share, and the recipe makes great use of the flavored goat cheese varieties now available at supermarkets across the country.",4.375,253,292,21,7
3163,"Chicken-Walnut Salad with Potato Salad, Tomatoes, and Kalamata Olives ",2004-08-20T04:00:00.000Z,NA,4.375,NA,NA,NA,NA
3164,Skirt Steak with Cilantro Garlic Sauce ,2004-08-20T04:00:00.000Z,NA,4.375,NA,NA,NA,NA
3165,Almond Praline Semifreddo with Grappa-Poached Apricots ,2009-06-19T04:00:00.000Z,"Apricots and almonds have an affinity for each other, as you'll discover in this marriage of the stone fruit and a cool semifreddo dotted with crushed almond praline. This semifreddo (Italian for ""half-cold"") is like a softly set ice cream that doesn't require churning. Grappa lends the poached fruit character and depth.",5,1362,151,41,26
3166,Sliced Tomatoes and Mozzarella with Three-Herb Pesto ,2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less.,4.375,212,411,14,14
3167,Apple Upside-Down Biscuit Cake ,2004-08-20T04:00:00.000Z,NA,4.375,269,304,12,3
3168,Mushroom And Leek Sauté ,2014-06-05T04:00:00.000Z,"Stir the mushrooms and leeks frequently enough so they caramelize without burning, then serve on top of steak.",4.375,138,602,8,8
3169,"Granny Smith, Ginger, and Basil Granita ",2004-08-20T04:00:00.000Z,The vitamin C used in this recipe prevents the apple juice from browning.,4.375,NA,NA,NA,NA
3170,Dried Fruits and Nuts ,2004-08-20T12:48:48.000Z,"This recipe, a refined trail mix if you will, is based on mendiants, a traditional French Christmas dish that consists of almonds, figs, hazelnuts, and raisins.",0,213,4,6,4
3171,Weeknight Red Curry ,2016-04-25T16:40:00.000Z,"""Curry"" rhymes with ""hurry"" for a reason. A few shortcut ingredients yield a gently spiced, deep-flavored sauce that’s ready in under an hour.",3.75,NA,NA,NA,NA
3172,Cioppino Seafood Stew With Gremolata Toasts ,2014-08-22T04:00:00.000Z,Feel free to experiment with your favorite seafood in this classic San Franciscan fisherman's stew. And don't forget to use the toasts slathered with zippy gremolata butter to soak up the flavorful broth. Bonus: This stew is great for entertaining since you can make the base a day in advance.,5,561,2038,19,49
3173,Hungarian Porcini-Potato Latkes ,2004-08-20T04:00:00.000Z,"Traditional potato latkes are spiced up with hot paprika and enhanced with earthy porcini mushrooms. They are especially good with roasted meats, poultry, or fish. This recipe will serve four to five as a side dish.",3.75,153,247,10,2
3174,"Creamy Fettuccine with Prosciutto, Asparagus, Mushrooms, and Peas ",2004-08-20T04:00:00.000Z,NA,4.375,525,658,19,23
3175,Snap Bean and Radish Crudites with Caesar Mayonnaise ,2004-08-20T04:00:00.000Z,This recipe can be prepared in 45 minutes or less.,4.375,131,193,11,4
3176,Five-Spice Sweet Potato Purée ,2004-08-20T04:00:00.000Z,NA,3.75,253,130,6,4
3177,Fusilli with Porcini Puttanesca Sauce ,2004-08-20T04:00:00.000Z,"Porcini mushrooms smooth out the intense flavors of this traditional sauce of tomatoes, olives, anchovies and capers. Although puttanesca sauce is typically served with penne or spaghetti, fusilli holds the sauce better.",3.75,290,454,2,11
3178,Caramelized-Onion Tartlets ,2006-05-16T20:12:06.000Z,NA,4.375,184,220,11,1
3179,Irish ,2004-08-20T20:58:12.000Z,NA,0,NA,NA,NA,NA
3180,Roast Duck with Prunes and Wine-Braised Cabbage ,2004-08-20T04:00:00.000Z,The ultimate Danish holiday dish from chef Torben Jensen of Gråbrødre Torv 21 restaurant.,4.375,3047,418,247,73
3181,Basic Tomato Sauce ,2008-10-27T04:00:00.000Z,NA,4.375,102,523,7,2
3182,"Sausage with Sauerkraut, Apples, and Bok Choy ",2014-11-10T04:00:00.000Z,NA,3.75,837,2762,70,38
3183,Sauteed Pasta with Lobster ,2004-08-20T04:00:00.000Z,(Arrossejat de Fideus amb Llagosta),4.375,705,1452,17,67
3184,Green Beans with Shiitake Mushrooms ,2004-08-20T04:00:00.000Z,Green beans go upscale in this fresh take on a favorite Thanksgiving dish.,4.375,136,18,9,4
3185,Rack of Lamb with Fresh Herbs and Garlic ,2004-08-20T04:00:00.000Z,"What to drink: Dry rosé wines from Spain (where they are called rosados) and France are great for warm-weather drinking and extremely food-friendly. Many New World rosés are made in a fruitier style, so check with a wine merchant before buying one of them. Serve all rosés chilled.",5,206,16,20,4
3186,Herb- and Spice-Roasted Beef Tenderloin with Red Wine-Shallot Sauce ,2004-08-20T04:00:00.000Z,"Here's a special-occasion roast enhanced with classic Provençal seasonings. Roasting two large ends of tenderloin instead of one whole piece ensures even cooking. (The meat needs to be coated with its aromatic rub, then chilled for at least six hours before roasting.) Serve this elegant dish with <epi:recielink id=""2999"">Scalloped Potatoes with Goat Cheese and Herbes de Provence</epi:recielink> and a sauté of green beans, zucchini and red bell pepper. Uncork a sophisticated Rhône red such as Hermitage or Crozes-Hermitage.",4.375,815,1209,54,50
3187,"Beet, Mint, and Goat Cheese Salad ",2004-08-20T04:00:00.000Z,NA,4.375,681,1360,43,28
3188,Spinach-Bacon Roll-Ups ,2004-08-20T12:48:48.000Z,A perfect accompaniment for cocktails. Most of the prep work here can be done ahead.,4.375,68,146,5,2
3189,Dilly Beans ,2011-07-11T04:00:00.000Z,"These brined green beans get their snappy flavor from fermentation. Use them to make the Dilly Bean Potato Salad, serve with charcuterie, or use as a Bloody Mary garnish.",0,NA,NA,NA,NA
3190,Peach and Blue Cheese Toasts ,2014-07-10T04:00:00.000Z,"The best blue cheese for this is salty but creamy, not too sharp or funky.",5,NA,NA,NA,NA
3191,One-Step Lasagna with Sausage and Basil ,2004-08-20T12:48:48.000Z,"You don't have to cook the lasagna noodles first - just assemble the dish, cover and bake.",3.75,1405,1184,53,74
3192,Warm Lemon-Cumin Chicken on Pita Bread Salad ,2004-08-20T04:00:00.000Z,Using stale pita will keep the bread from getting soggy in the salad.,3.75,276,56,25,5
3193,"Tomato, Garlic, and Potato Frittata ",2004-08-20T04:00:00.000Z,NA,3.75,326,773,21,18
3194,Smoked Turkey and Stilton Sandwiches ,2004-08-20T12:48:48.000Z,Can be prepared in 45 minutes or less.,3.75,NA,NA,NA,NA
3195,Grilled Clams with Lemon-Ginger Butter and Grilled Baguette ,2009-07-02T04:00:00.000Z,"This exotic dish is cooked on the grill (in a disposable pan), so there's very little cleanup.",5,NA,NA,NA,NA
3196,Onion-and Olive-Stuffed Bell Peppers ,2004-08-20T04:00:00.000Z,NA,3.75,174,51,10,3
3197,Red Snapper with Warm Tomato Salad ,2004-08-20T04:00:00.000Z,"This colorful entrée is a clever way to enjoy your fish and salad, all in one.",4.375,NA,NA,NA,NA
3198,Butter Lettuce and Radish Salad with Fresh Spring Herbs ,2005-04-12T04:00:00.000Z,NA,3.75,372,87,36,4
3199,Balsamic Mixed Vegetable Roast ,2004-08-20T04:00:00.000Z,NA,3.75,237,400,19,3
3200,Open-Face Lamb Burgers with Pistachio-Apricot Relish ,2007-05-30T18:13:41.000Z,"For burgers with the best texture, blend the meat and seasoning gently, trying not to overwork it, and then shape the mixture into patties.",5,801,1101,59,39
3201,"Leek, Red Onion, and Haricot Vert Salad with Veal Stock Vinaigrette ",2004-08-20T04:00:00.000Z,NA,3.75,NA,NA,NA,NA
3202,Pan-Seared Polenta with Spicy Tomato-Basil Sauce ,2009-12-21T04:00:00.000Z,NA,4.375,NA,NA,NA,NA
3203,Pecan-Crusted Salmon with Sorrel Sauce ,2004-08-20T04:00:00.000Z,"From the Pepper Mill in Clearwater, Florida.",4.375,877,144,79,40
3204,Vegetable Ragoût with Parmesan and Balsamic Vinegar ,2004-08-20T04:00:00.000Z,Ragoût de petits L égumes au Parmesan et Vinaigre Balsamique,2.5,388,542,17,20
3205,Buttermilk Panna Cotta with Rhubarb-Strawberry Jelly ,2013-04-05T04:00:00.000Z,"The slight tang of this dessert is complemented by the sweet and sour flavor of the vibrant topping. Because the panna cotta can be made so far in advance, it's an ideal choice for a party.",5,210,156,13,3
3206,"Onion, Bacon and Cream Pizza ",2004-08-20T04:00:00.000Z,"This is a wonderful way to experience onions and it is reminiscent of the Alsatian specialty, flammekeuche. Combined with the cream, the onions (Rose de Roscoff, if you can find them) create a sweet, succulent foil for the bacon and the pizza dough. I like to serve this as a first course, with a lovely Gewurtztraminer.",3.75,351,361,16,10
3207,Pork Stew with Apricots and Prunes ,2004-08-20T04:00:00.000Z,A hearty sweet and savory stew that's a perfect seasonal meal when teamed up with crusty bread and a green salad.,4.375,988,730,64,55
3208,Moroccan-Style Vegetable Stew with Harissa Yogurt Sauce ,2009-03-04T04:00:00.000Z,"Blanching the root vegetables shortens the stew's cooking time and keeps the flavors bright. Plus, the blanching water makes a great quick stock.",3.75,307,338,12,12
3209,Lemon-Blueberry Cake with White Chocolate Frosting ,2004-08-20T04:00:00.000Z,"Buttermilk makes the cake tender, and cream cheese adds great texture to the frosting.",4.375,909,436,52,12
3210,Escarole and Mushroom Dressing ,2004-08-20T04:00:00.000Z,Active time: 45 min Start to finish: 1 1/2 hr,5,255,408,13,9
3211,Tex-Mex Roasted Lamb Ribs With Cheese Grits ,2007-02-14T20:38:39.000Z,"Pork and beef are the usual suspects when it comes to ribs, but the rich, bold flavor of lamb is a perfect match for this tangy Tex-Mex marmalade glaze. Grits cooked with a generous amount of Cheddar and Parmigiano-Reggiano round out the meal.",3.75,1422,2657,105,64
3212,Baked Pork Chops with Parmesan-Sage Crust ,2004-08-20T12:48:48.000Z,NA,4.375,758,735,41,58
3213,Candied Nuts with Smoked Almonds ,2012-11-14T04:00:00.000Z,Holiday spiced nuts meet the candied street-cart variety. Send any extra home as gifts for your guests.,4.375,355,56,31,3
3214,"Rhubarb, Onion, and Raisin Chutney ",2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less.,2.5,230,11,7,3
3215,Green Beans with Warm Bacon Dressing ,2004-08-20T04:00:00.000Z,"While it is especially good with the meat loaf, this vegetable will also do wonders for chicken or roast beef.",3.125,161,199,12,6
3216,"Oven-Roasted Flounder with Bok Choy, Cilantro, and Lime ",2012-11-14T04:00:00.000Z,"Make sure the flounder fillets are no thicker than 1/2""; otherwise the bok choy will overcook while the fish finishes. Serve with steamed brown or white rice.",3.75,NA,NA,NA,NA
3217,Coconut-Rum Roulade ,2004-08-20T04:00:00.000Z,NA,3.75,690,153,57,8
3218,Scottish Farmhouse Eggs ,2004-08-20T04:00:00.000Z,NA,3.75,398,529,21,19
3219,Braised Chicken in Sun-Dried Tomato Cream ,2004-08-20T04:00:00.000Z,"To complement this Provençal-style entrée, sprinkle torn radicchio with oil, vinegar and Niçoise olives, and mix chopped chives and grated Parmesan into pasta. Finish with a purchased lemon tart.",4.375,418,162,15,55
3220,Sweet–potato Chips with Lime Salt ,2004-08-20T04:00:00.000Z,This recipe can be prepared in 45 minutes or less.,3.75,592,678,46,4
3221,Rustic Pear and Apple Tart ,2004-08-20T04:00:00.000Z,NA,3.75,506,110,28,6
3222,Creamy Fennel and Potato Soup ,2004-08-20T04:00:00.000Z,"Fresh fennel bulbs and crushed fennel seeds add subtle anise flavor. Use a mortar and pestle to crush the fennel seeds, or simply place them in a plastic bag and pound them with a rolling pin. The soup can be made a day ahead and rewarmed before serving.",4.375,206,172,12,6
3223,Root Vegetable Purée ,2004-08-20T04:00:00.000Z,NA,4.375,229,74,6,5
3224,Pan Bagnat ,2004-08-20T04:00:00.000Z,"This salad-in-a-sandwich can also be made with individual sourdough rolls. There can be many variations on this theme, so use your imagination. You might replace the tuna with grilled leftover chicken or tuck in a bit of salami, mortadella or roast beef. The sandwich is best if made at least two hours before serving.",4.375,945,952,79,13
3225,Soup Doria ,2011-12-05T04:00:00.000Z,"When I worked in Gray Kunz's kitchens at Lespinasse, there was an honest-to-God Swiss princess living at the St. Regis Hotel. Her name was Princess Doria, and every night, she would phone down to the kitchen and tell us what she wanted to eat for dinner. In the beginning, Gray would cook for her himself: he was Swiss, she was Swiss, it was a whole Swiss thing going on. But after a while, he got tired of taking her calls, and the job devolved to me and the sous chefs. Every night, that phone would ring, and I would say, ""Good evening, Princess,"" and she would tell me what she wanted to eat that night. Princess Doria wasn't into super-fancy creative cooking: her thing was refined-but-homey. Some- times, for example, it would be a roast pintade for two: I would plate the breast for her, and the thighs for her cat. So I developed some dishes that were just for her. I named them after her: Salad Doria, Chicken Doria. And sometimes on cold winter nights, she would call down and say, ""Andrew, I would like some Soup Doria tonight, please.""",5,579,964,24,23
3226,Mango Cheesecake ,2004-08-20T04:00:00.000Z,Pureed fresh mango gives this cheesecake a light and soft texture and subtle tropical fruit flavor.,4.375,NA,NA,NA,NA
3227,Southwestern Grilled Beef Salad with Corn Salsa and Chipotle Dressing ,2004-08-20T04:00:00.000Z,"Cumin, chili powder, garlic and fresh lime juice are combine in the easy-to-make spice paste. It adds lots of flavor to the beef in this recipe, but can also be used on chicken, pork, shrimp or firm fish like halibut, swordfish and shark.",4.375,857,146,69,34
3228,Glazed and Lacquered Roast Turkey ,2015-11-01T16:14:00.000Z,A little soy sauce in the glaze ensures the burnished mahogany skin that holiday memories are made of. But it's not just for looks; this brined and buttered bird is seasoned inside and out.,5,681,5204,34,82
3229,Kiwi Tart ,2005-03-09T16:24:38.000Z,NA,3.75,353,336,24,5
3230,Smashed Fingerlings with Jalapeños ,2014-06-17T04:00:00.000Z,"Hit the reset button on your potato salad: These spuds are roasted, not boiled, and tossed with a mustardy vinaigrette and jalapeños while warm.",3.75,NA,NA,NA,NA
3231,Jollof Rice ,2016-05-26T18:37:00.000Z,"This is the dish that first got me into cooking. Talking about it got me my first job in a kitchen, and together with the help of friends, local restaurants, and family it’s the recipe we have worked on the most for this book, because we all know how good it should be. If I could only eat one thing in the world it would probably be my grandma’s jollof. She would regularly cook a big pot with care and patience and insist that everyone took home a small container of it. Cooking the rice and storing it for the following day or to give to friends to take away is part of a sharing culture that surrounds jollof—just remember to return the Tupperware!",3.75,512,1363,17,12
3232,Buttermilk Spice Cake with Pear Compote and Crème Fraîche ,2010-02-10T04:00:00.000Z,"A light, tender cake thats perfectly spiced. Any leftovers would be delicious with coffee or tea the next day.",3.75,NA,NA,NA,NA
3233,Garlic-Lime Shrimp ,2004-08-20T04:00:00.000Z,"We like these shrimp with corn on the cob, crusty bread, and a salad of summery greens. For dessert, offer a strawberry tart.",3.75,252,274,23,5
3234,Lettuce Wraps with Smoked Trout ,2009-07-02T04:00:00.000Z,"In this handheld treat, carrots, cucumbers, and smoked trout are tossed in a hot, sweet, and tangy sauce. For a simple side, steam some plain or sticky rice in the microwave, then chill it and mix in some chopped green onions, chopped fresh mint, lime juice, chili-garlic sauce, and a touch of soy sauce or fish sauce. For dessert, serve mango sorbet or fresh pineapple and mango slices.",3.75,220,720,9,17
3235,Lebkuchen ,2004-08-20T04:00:00.000Z,Spice Cookies,4.375,175,86,5,3
3236,Asparagus with Morels and Tarragon ,2007-04-18T20:28:09.000Z,"Tarragon leaves and meaty morel caps shoot up all over the Jura mountains in the spring. Here, tossed with juicy green and white asparagus — Europeans are particularly mad for the latter — they're a genuine sampling of the season.",4.375,149,204,12,4
3237,Shrimp and Artichokes in Peppery Butter Sauce ,2004-08-20T04:00:00.000Z,NA,4.375,1014,984,48,27
3238,Sauteed Mushrooms with Smoked Ham ,2004-08-20T04:00:00.000Z,"Traditionally, this flavorful sauté would be composed entirely of fresh cèpes (we know them better by their Italian name, porcini) gathered from the forests around Bordeaux. In this recipe, dried porcini mushrooms are supplemented with fresh large button mushrooms.",4.375,215,179,15,9
3239,Green Onion Corn Bread ,2004-08-20T04:00:00.000Z,"Also try this with scrambled eggs, omelets or a big bowl of chili.",3.75,319,468,11,6
3240,Green Olive Tapenade ,2004-08-20T04:00:00.000Z,"Classic French tapenade is a spread of black olives, capers and anchovies, among other ingredients. This version has green olives instead of black.",4.375,412,2516,39,9
3241,Green Beans with Maple-Pecan Butter ,2006-10-25T18:24:30.000Z,This versatile side dish is part of a menu chef Kent Rathbun created for Epicurious's Wine.Dine.Donate program.,3.75,307,392,29,3
3242,Fusilli All'amatriciana ,2004-08-20T04:00:00.000Z,"Full-flavored and hearty, this classic pasta dish with bacon and tomato sauce is always a hit. Top it with plenty of grated Parmesan cheese.",3.75,509,251,25,14
3243,Braised Chicken with Garlic and White Wine ,2004-08-20T04:00:00.000Z,"The chicken is redolent of garlic, but not overly so; cooking the garlic cloves whole in their skins keeps the flavors in balance. What to drink: A spicy red from Spain's Ribera del Duero region. Try the 2000 vintage from this appellation, known for its rich blends of Tempranillo, Cabernet, and Merlot.",3.75,996,283,70,75
3244,Beef and Broccoli Stir-Fry ,2015-01-25T04:00:00.000Z,NA,4.375,316,1268,19,28
3245,Spiced Cranberry Rum Tea ,2004-08-20T20:58:12.000Z,NA,3.75,NA,NA,NA,NA
3246,Smoked Fish Trio ,2004-08-20T04:00:00.000Z,NA,5,783,421,40,98
3247,"Red Chard, Avocado, and Blood Orange with Mango-Chutney Dressing ",2016-02-01T23:02:00.000Z,"This side dish has it all: creamy avocado, tart orange, savory greens, zesty chutney, and crunchy toasted almonds. Serve as a salad or a side dish alongside a piece of grilled fish.",0,306,1310,21,10
3248,Cold Pea Soup With Herbed Oil Swirl ,2015-06-17T04:00:00.000Z,"Creamy, cold, and refreshing, this pretty green soup is the perfect way to start a warm weather dinner party.",5,235,582,10,12
3249,Rigatoni with Spicy Sun-Dried Tomato Sauce ,2004-08-20T04:00:00.000Z,NA,4.375,763,958,15,35
3250,Orange Currant Noodle Kugel ,2004-08-20T04:00:00.000Z,"Kugels are baked puddings that come in many forms; Their base may be noodles, matzo, or bread or cake crumbs; most are sweet but some are savory; and they may be served warm or cold. Traditionally part of Jewish sabbath and holiday meals, slightly sweet noodle kugels are often served as a side dish. The following kugel would also work well as a dessert.",4.375,583,351,30,18
3251,Chicken with Red Bell Peppers ,2004-08-20T04:00:00.000Z,NA,3.75,440,129,19,55
3252,Roasted Organic Chicken with Moroccan Spices ,2006-09-19T19:49:18.000Z,NA,5,1311,2136,94,104
3253,Coconut Marshmallows ,2004-08-20T12:48:48.000Z,NA,4.375,285,145,8,3
3254,Monte Cristo Sandwiches ,2007-03-07T17:27:36.000Z,"A delightfully mustardy version of the battered and fried turkey, ham, and cheese sandwiches.",3.75,NA,NA,NA,NA
3255,Orange Currant Scones ,2004-08-20T04:00:00.000Z,NA,4.375,390,379,17,7
3256,Smoky Greens and Beans ,2009-10-07T04:00:00.000Z,"Thanks to paprika, this meatless main has a spicy, smoky flavor. Domestic smoked paprika can be found at some supermarkets. For a spicier kick, use hot smoked Spanish paprika (Pimentón Picante or Pimentón de La Vera Picante), which is sold at specialty foods stores and at tienda.com.",4.375,279,2373,9,14
3257,Blackberry Lime Margaritas ,2004-08-20T20:58:12.000Z,NA,5,186,7,0,1
3258,Hainanese Chicken Rice ,2004-08-20T04:00:00.000Z,"This three-in-one dish (chicken, rice, and soup) originated in Hainan, a tropical island off China's southern coast, and has become a culinary staple in Malaysian culture.",4.375,810,1718,39,52
3259,"Veal Chops with Lemon, Olives, Roasted Tomatoes, and Caper Berries ",2006-11-06T17:53:44.000Z,NA,3.125,661,362,40,65
3260,Lobster and Shrimp Bisque ,2004-08-20T04:00:00.000Z,"Although bisques tend to be thick and creamy, the following intensely flavorful version is light, with very little cream added.",4.375,214,813,5,25
3261,Superb English Plum Pudding ,2004-08-20T12:48:48.000Z,"This pudding is really best when made a year in advance and allowed to mellow. It was customary to make it early in Advent — the religious season before Christmas — and use it the following year. Everyone in the family was supposed to stir the pudding once for good luck. If you can't make it the year before, at least give it a few weeks to age.",4.375,1017,623,43,16
3262,Minted Simple Syrup ,2004-08-20T04:00:00.000Z,This recipe can be prepared in 45 minutes or less.,4.375,209,13,0,1
3263,Spiced Beef Corn Bread Cobbler ,2006-11-16T14:37:04.000Z,Think of this dish as a sloppy joe with a corn bread and Cheddar crust — a welcome twist to an American classic.,3.75,533,1039,27,34
3264,Sauerbraten ,2004-08-20T04:00:00.000Z,NA,4.375,417,1362,19,50
3265,Coriander and Mustard Seed Chicken ,2004-08-20T04:00:00.000Z,Active time: 20 min Start to finish: 35 min,3.125,2010,767,149,150
3266,Egg Noodles with Peas and Mushrooms ,2004-10-21T20:31:00.000Z,NA,3.125,377,359,12,14
3267,Cranberry-Kumquat Sauce ,2006-10-30T21:57:04.000Z,Fresh kumquats and golden raisins make the familiar cranberry sauce new.,5,254,6,0,1
3268,Apricot and Pistachio Baked Rice ,2004-08-20T04:00:00.000Z,NA,3.75,239,1442,6,4
3269,Pork Tenderloin with Balsamic-Cranberry Sauce ,2004-08-20T04:00:00.000Z,"To round out this menu, serve roasted squash, corn muffins and boiled green beans with orange zest. End with vanilla ice cream topped with warm chestnuts in syrup.",4.375,331,103,14,28
3270,Velvety Chilled Corn Soup ,2004-08-20T04:00:00.000Z,"This elegant first course is ideal for entertaining, because everything can be prepared a day ahead (just chop up all the toppings and refrigerate them until ready to use).",3.75,155,93,5,8
3271,Spiced Roast Chicken Breast ,2004-08-20T04:00:00.000Z,This chicken makes a flavorful meal when combined with the Jasmine Rice and Carrot and Radish Salad . Steamed green beans and carrots would also make good sides.,4.375,NA,NA,NA,NA
3272,Cranberry-Orange Drop Cookies ,2004-08-20T04:00:00.000Z,"Colorful bits of cranberries, walnuts, and pistachios make these simple cookies sparkle for the holidays.",3.75,102,30,6,1
3273,Brussels Sprouts with Marjoram and Pine Nuts ,2004-08-20T04:00:00.000Z,Think you don't like brussels sprouts? Think again: These are pretty irresistible.,4.375,162,35,12,5
3274,Calvados Applesauce ,2004-08-20T04:00:00.000Z,Active time: 10 min Start to finish: 1 hr (includes cooling),4.375,281,4,0,0
3275,Caramelized Onion and Sour Cream Spread ,2004-08-20T04:00:00.000Z,"Leaping off the backs of onion-soup-mix boxes and showing up at cocktail parties everywhere, Lipton’s sour cream-and-onion dip took the country by storm. Convenient and quick, the dip also tasted great on potato chips, without which, in the fifties anyway, it wasn’t a party. These days it isn’t a party without little toasts topped by something Mediterranean-hence this zesty update.",3.75,432,350,25,12
3276,Turkey Burritos with Salsa and Cilantro ,2005-11-01T21:17:26.000Z,The bold flavor of turkey is a natural with Mexican food.,4.375,551,938,27,42
3277,Orange Crème Caramels ,2004-08-20T04:00:00.000Z,Active time: 30 min Start to finish: 4 hr,3.75,408,94,9,9
3278,"Haricots Verts, Roasted Fennel, and Shallots ",2004-11-04T19:09:35.000Z,NA,4.375,298,96,18,6
